Date,Product Name,Category,Sales Amount,Quantity Sold,Region,Customer Segment
8/7/2024,Natural Peanut Butter,Food - Spreads,652,47,Japan,Public Utilities
10/16/2024,Peach Mango Smoothie,Food - Beverages,1112,30,Greece,Finance
6/25/2025,Frozen Acai Purée,Food - Frozen,4174,40,China,n/a
7/19/2025,Pet Travel Bowl,Pets,1866,15,Russia,Technology
5/1/2025,Herb Garden Planter Box,Garden,2202,21,Colombia,Health Care
7/8/2025,Spicy Roasted Nuts,Food - Snacks,412,5,Portugal,Energy
12/10/2024,Kids' Dinosaur-Themed Lunchbox,Accessories,4797,27,Tunisia,Finance
2/3/2025,Chocolate Protein Powder,Food - Supplements,2765,13,Russia,Miscellaneous
11/10/2024,Honey Garlic Sauce,Food - Sauces,2896,25,Indonesia,n/a
7/14/2025,Toy Building Set,Toys,3226,36,China,n/a
4/15/2025,Poppy Seed Dressing,Food - Condiments,1174,35,Croatia,Consumer Services
1/19/2025,Insulated Lunch Box,Kitchen,873,31,Indonesia,Health Care
7/28/2024,Peach & Mango Salsa,Food - Snacks,4637,1,Russia,Consumer Non-Durables
9/29/2024,Lemon Herb Chicken,Food - Meat,2336,9,South Africa,Consumer Services
5/20/2025,Mini Projector for Smartphones,Electronics,4073,38,Philippines,Consumer Services
9/24/2024,LED Camping Lantern with USB Charging,Outdoor,3435,7,Norway,n/a
7/7/2025,Golf Putting Green,Sports,4054,34,Norway,Basic Industries
1/19/2025,Dog Walking Waist Pack,Pets,611,9,Poland,Health Care
12/11/2024,Interactive Plush Toy,Toys,4289,21,Norway,Basic Industries
10/1/2024,Safety First Aid Kit,Health,2035,17,Ethiopia,Technology
11/11/2024,Classic Pesto Sauce,Food - Sauces,1980,18,United States,Energy
4/8/2025,Peanut Butter Pretzel Bites,Food - Snacks,3022,37,Portugal,Finance
7/9/2025,Brazil Nuts,Food - Nuts,2963,21,Poland,Health Care
4/12/2025,Pumpkin Pancake Mix,Food - Breakfast,2363,2,Indonesia,Miscellaneous
2/25/2025,Casual Sneakers,Clothing - Footwear,4061,14,Russia,Miscellaneous
12/24/2024,Avocado Oil Mayo,Food - Condiments,630,37,Luxembourg,Finance
4/6/2025,Denim Jacket,Clothing - Outerwear,2290,48,Luxembourg,Consumer Durables
4/20/2025,Cooking Utensil Set,Kitchen,1505,42,Philippines,Consumer Durables
7/17/2025,Toilet Paper (12 rolls),Food - Household,2772,33,France,Consumer Services
9/4/2024,Protein Pancake Mix,Food - Breakfast,2091,44,Ireland,Finance
12/10/2024,Garden Hose Reel,Garden,3059,26,China,n/a
1/16/2025,Coconut Bowls Set,Kitchen,3667,27,Pakistan,n/a
7/9/2025,Over-the-Door Hooks,Home,4652,45,China,Basic Industries
8/21/2024,Apple Juice,Food - Beverages,4163,12,China,Health Care
1/28/2025,Spicy Tuna Sushi Kit,Food - Prepared Meals,942,4,Honduras,Transportation
8/3/2024,Foldable Yoga Mat,Fitness,3015,28,Canada,Transportation
6/21/2025,Jennifer's Amazing Lip Balm Kit,Beauty,1720,10,Reunion,n/a
5/26/2025,Honey Garlic Chicken,Food - Meat,1665,17,China,Public Utilities
4/18/2025,Berry Smoothie Mix,Food - Frozen Foods,892,5,Japan,Technology
10/10/2024,Hiking Gaiters,Outdoor,2549,37,Philippines,Health Care
12/11/2024,Hibiscus Herbal Tea,Food - Beverages,2460,6,Afghanistan,Consumer Services
9/19/2024,Spicy Garlic Edamame,Food - Snacks,2343,1,China,n/a
12/11/2024,Lemon Dill Chicken Skewers,Food - Meat,349,21,Madagascar,Technology
2/22/2025,Roasted Chickpeas,Food - Snacks,4066,46,China,Energy
12/23/2024,Oven Mitts with Pocket,Kitchen,1842,41,Serbia,Technology
7/2/2025,Cucumber Lime Sparkling Water,Food - Beverages,1935,5,Belarus,n/a
8/29/2024,Self-Massaging Pillow,Health,4436,1,Russia,Miscellaneous
8/16/2024,Pet Hair Vacuum Cleaner Attachment,Pets,87,43,Indonesia,Consumer Durables
10/5/2024,Sporty Leggings,Clothing - Activewear,1513,31,Vietnam,Public Utilities
4/19/2025,Honey Glazed Carrots,Food - Produce,3458,37,Indonesia,Capital Goods
4/24/2025,Dog Training Collar,Pets,1184,8,Lebanon,n/a
2/19/2025,Relaxed Fit Henley Shirt,Clothing - Tops,1525,32,China,n/a
11/9/2024,Sous Vide Cooker,Kitchen,2021,35,Nigeria,Finance
5/30/2025,Salt and Pepper Grinder Set,Kitchen,3998,21,Japan,Consumer Services
9/29/2024,Compost Bin,Garden,1073,20,China,Finance
4/11/2025,Adjustable Garden Rake,Garden,2003,18,Philippines,Finance
4/28/2025,Cushion Covers,Home,3440,8,Brazil,n/a
1/27/2025,Savory Quinoa Pudding,Food - Sides,3210,5,China,Consumer Services
3/11/2025,Classic BBQ Sauce,Food - Condiments,3109,42,Canada,n/a
6/7/2025,Marinated Artichokes,Food - Vegetables,1459,21,Sweden,Health Care
12/14/2024,Adjustable Resistance Bands,Fitness,1914,15,Philippines,Miscellaneous
10/1/2024,Smartphone Holder for Car,Automotive,3247,24,Philippines,n/a
4/4/2025,Adjustable Pedicure Footrest,Beauty,140,33,China,n/a
11/29/2024,Pet Grooming Brush,Pets,1120,36,Malaysia,n/a
5/31/2025,Peach Green Tea,Food - Beverages,3499,24,Colombia,Technology
8/18/2024,Honey Lemon Tea,Food - Beverages,1932,15,Belarus,Basic Industries
10/6/2024,Chipotle Seasoning Blend,Food - Spices,1826,12,China,n/a
9/27/2024,Dried Cranberries,Food - Snacks,2999,18,Ukraine,Capital Goods
11/5/2024,Buffalo Chicken Dip,Food - Dips,2669,28,Armenia,Energy
7/8/2025,Laptop Sleeve,Accessories,214,28,Tunisia,Finance
5/2/2025,Backpacking Tent,Outdoor,2852,4,Norway,Consumer Services
1/24/2025,Watercolor Brush Pens,Art Supplies,2429,28,China,Miscellaneous
9/28/2024,Canned Black Beans,Food - Canned Goods,4651,15,China,Health Care
9/24/2024,Flavored Popcorn Mix,Food - Snacks,4611,42,United States,Capital Goods
1/23/2025,Dog Training Collar,Pets,1315,34,Vietnam,n/a
3/9/2025,Sweet Chili Thai Sauce,Food - Condiments,2208,5,United States,Energy
10/7/2024,Adjustable Stand for Tablets and Smartphones,Electronics,4731,38,China,Consumer Services
1/12/2025,Lightweight Backpacking Tent,Outdoor,796,28,China,Energy
3/2/2025,Face Mask Set,Health,2116,6,China,Health Care
4/14/2025,Orange Ginger Vinaigrette,Food - Condiments,1632,38,Dominican Republic,Technology
7/19/2025,Samsung Galaxy Smartwatch,Wearable Tech,4934,37,Colombia,Consumer Non-Durables
5/31/2025,Foldable Picnic Table,Outdoor,2550,35,Croatia,Basic Industries
9/24/2024,Reusable Food Storage Bags,Kitchen,817,44,Russia,Consumer Durables
2/8/2025,Multi-Tool,Outdoor,1810,34,China,n/a
7/1/2025,Coconut Flakes,Food - Baking,2276,10,Ukraine,n/a
2/13/2025,Roasted Garlic Butter,Food - Condiments,4487,32,Ghana,Finance
12/8/2024,Apple Cinnamon Oatmeal,Food - Breakfast,3357,43,Poland,Energy
8/10/2024,Organic Granola,Food - Breakfast,2907,42,Colombia,n/a
8/27/2024,Lentil Vegetable Stew,Food - Canned Soups,4295,37,Peru,Miscellaneous
2/28/2025,Vegetable Spring Rolls,Food - Frozen Foods,4776,16,Poland,Finance
8/9/2024,Honey Glazed Carrots,Food - Produce,2633,6,Malaysia,Public Utilities
11/28/2024,Balsamic Fig Dressing,Food - Condiments,1460,39,Ukraine,Technology
6/12/2025,Trainers with Mesh Inserts,Clothing - Footwear,3233,47,China,Capital Goods
7/17/2025,Mini Cordless Vacuum Cleaner,Home Appliances,1720,30,Sweden,Health Care
1/11/2025,Cotton Pajama Set,Clothing - Loungewear,1956,46,Brazil,Capital Goods
1/26/2025,Memory Card,Storage,3554,33,Portugal,Finance
9/25/2024,Glass Tea Pot,Kitchen,3969,36,Greece,Capital Goods
7/29/2024,Bamboo Charcoal Air Purifier Bags,Home,1903,17,Ukraine,Energy
5/4/2025,Smart Thermos,Fitness,3890,34,China,Transportation
2/21/2025,Home Office Chair,Furniture,2448,37,Mexico,n/a
11/10/2024,Spicy Thai Coconut Soup,Food - Soups,4778,17,China,Consumer Services
8/30/2024,Wall Calendar,Home,3372,6,Philippines,Capital Goods
12/6/2024,Ripped Boyfriend Jeans,Clothing - Bottoms,4628,43,Portugal,n/a
6/12/2025,Colorful Post-It Notes Set,Office,2128,38,China,Technology
10/25/2024,Chili Beans (canned),Food - Canned Goods,3769,46,Philippines,n/a
4/26/2025,Fitness Resistance Bands Kit,Fitness,546,19,Indonesia,n/a
8/11/2024,High-Quality Yoga Mat,Fitness,3108,47,United States,Health Care
12/22/2024,Electric Skillet,Kitchen,4580,19,Thailand,Consumer Services
9/5/2024,LED Strip Light Kit,Home,1152,11,Poland,Consumer Non-Durables
3/31/2025,Lemon Dill Salmon,Food - Seafood,4790,9,Poland,Public Utilities
4/15/2025,Inflatable Paddle Board,Outdoor,3238,41,China,n/a
5/24/2025,Fitness Tracker Band,Fitness,662,19,China,Health Care
7/17/2025,Cranberry Almond Cookies,Food - Bakery,2606,3,Ukraine,Finance
12/4/2024,Casual Long Cardigan,Clothing - Outerwear,3139,45,China,n/a
11/8/2024,Pet Travel Bowl,Pets,3965,14,Japan,Consumer Non-Durables
10/12/2024,Classic Black Trousers,Clothing - Pants,1863,12,United States,Technology
11/14/2024,Portable SSD,Storage,907,16,China,Health Care
2/11/2025,Garden Vegetable Soup,Food - Canned Goods,505,28,Albania,Basic Industries
12/13/2024,Wall Calendar,Home,2923,20,Mexico,Technology
4/5/2025,LED Desk Lamp with USB Charging Port,Office,3057,5,Nigeria,Health Care
5/11/2025,Peanut Butter Banana Smoothie,Food - Beverages,3071,44,China,Basic Industries
8/31/2024,Dog Car Seat Cover,Pets,668,35,Indonesia,Finance
5/28/2025,Vegetable Lasagna,Food - Frozen Foods,4859,16,China,Finance
1/29/2025,Frozen Chicken Nuggets,Food - Frozen Foods,4685,31,Bangladesh,Public Utilities
1/11/2025,Puzzle 3D Model Kit,Toys,644,12,China,Energy
6/2/2025,Peanut Butter Pretzel Nuggets,Food - Snacks,3742,28,Finland,Finance
11/1/2024,Party Mini Dress,Clothing - Dresses,3355,16,Czech Republic,Finance
10/12/2024,Chocolate Peanut Butter Cups,Food - Snacks,3683,34,China,Consumer Services
10/31/2024,Digital Bullet Journal,Apps,3881,5,China,Health Care
3/5/2025,Smoked Paprika Chicken Thighs,Food - Meat,334,2,China,Miscellaneous
7/19/2025,Shatterproof Wine Glasses,Outdoor,2153,43,Japan,Basic Industries
3/27/2025,Foldable Picnic Table,Outdoor,4815,29,Thailand,Capital Goods
10/19/2024,Veggie Chips Variety Pack,Food - Snacks,2045,3,Brazil,Public Utilities
8/14/2024,Coconut Oil Spray,Food - Cooking Oils,2692,25,South Africa,n/a
11/1/2024,Handheld Garment Steamer,Home,1863,15,Ethiopia,Basic Industries
7/9/2025,Fruit Infuser Water Bottle,Fitness,192,19,China,Finance
8/29/2024,Cereal Dispenser with Portion Control,Kitchen,3991,49,Japan,n/a
7/16/2025,Tomato Paste,Food - Canned Goods,1506,2,Ghana,Finance
4/11/2025,Dark Chocolate Covered Raisins,Food - Snacks,570,41,Peru,Technology
3/3/2025,Chia Seed Pudding Mix,Food - Breakfast,4097,47,China,Health Care
4/13/2025,Mini Projector for Smartphones,Electronics,204,22,Indonesia,Consumer Durables
1/18/2025,Sustainable Wooden Toys,Toys,652,14,Venezuela,n/a
4/15/2025,Portable Hammock with Stand,Outdoor,4485,16,Indonesia,Finance
3/24/2025,Satin Slip Dress,Clothing - Dresses,3691,4,Brazil,Public Utilities
2/22/2025,LED Strip Light Kit,Home,4138,42,Togo,Finance
5/4/2025,LED Desk Lamp with USB Charging,Office,2056,48,Canada,Technology
7/13/2025,Active Racerback Tank,Clothing - Tops,3192,6,Sweden,Health Care
1/17/2025,Apple Juice,Food - Beverages,169,35,Honduras,Capital Goods
10/25/2024,Cabbage,Food - Produce,4606,18,Indonesia,n/a
2/25/2025,Garden Tool Set,Garden,4629,9,Indonesia,Finance
4/14/2025,Dill Pickle Chips,Food - Condiments,147,40,Yemen,n/a
11/28/2024,Pumpkin Spice Muffins,Food - Bakery,2220,27,France,Technology
5/22/2025,Vanilla Pudding Mix,Food - Baking,3840,35,Sweden,Public Utilities
11/10/2024,Hummus,Food - Snacks,1373,42,France,Finance
4/15/2025,Backpacking Tent,Outdoor,2956,27,Mozambique,Technology
6/10/2025,Chocolate Mint Protein Shake,Food - Beverages,639,43,Greece,Transportation
3/5/2025,Digital Voice Recorder,Electronics,741,28,Philippines,Public Utilities
4/20/2025,Ginger Turmeric Latte Mix,Food - Beverages,3125,26,China,Technology
9/28/2024,Vegetable Lentil Soup,Food - Canned Goods,2011,25,Sweden,Consumer Services
11/16/2024,Underwater Camera,Photography,3002,15,Brazil,n/a
2/6/2025,Portable Water Filter,Outdoor,4474,41,Philippines,Public Utilities
3/22/2025,Tea Infuser,Kitchen,1701,15,Czech Republic,n/a
6/29/2025,Multi-Tool,Outdoor,222,50,Portugal,Capital Goods
3/29/2025,Non-Stick Baking Sheet,Kitchen,2085,36,China,Miscellaneous
9/3/2024,Drone,Electronics,3243,36,China,Health Care
4/29/2025,Vegan Alfredo Sauce,Food - Sauces,487,49,Pakistan,n/a
6/16/2025,Organic Black Beans,Food - Canned Goods,2689,47,Brazil,Basic Industries
2/8/2025,Jump Rope with Counter,Fitness,4251,44,Dominica,Finance
11/17/2024,Thai Peanut Dressing,Food - Condiments,1858,2,Czech Republic,Consumer Non-Durables
2/19/2025,Sweet Pea Hummus,Food - Dips,2431,21,China,Energy
6/23/2025,High-Quality Yoga Block,Fitness,1827,41,Vietnam,Finance
4/7/2025,Pine Nuts,Food - Nuts,2092,49,Portugal,Technology
7/16/2025,Smart Plant Monitor,Garden,3660,37,Azerbaijan,Health Care
2/12/2025,Tea Set with Infuser,Kitchen,693,39,Indonesia,n/a
3/27/2025,Artisan Pickles,Food - Condiments,3049,3,Cameroon,n/a
6/30/2025,Organic Green Tea,Food - Beverages,1590,18,Sweden,Technology
8/10/2024,Dark Chocolate Almond Butter Cups,Food - Snacks,2270,18,China,Technology
7/11/2025,Dog Collar,Pets,580,18,Argentina,Finance
1/21/2025,Oven Thermometer,Kitchen,81,15,China,Finance
12/26/2024,Workstation Laptop Stand,Office,1242,6,Brazil,n/a
3/29/2025,Portable Dog Water Bottle,Pets,1864,45,Serbia,n/a
6/16/2025,Maple Pecan Oatmeal Cookies,Food - Bakery,1234,33,Russia,Finance
6/27/2025,Teriyaki Stir-Fry Sauce,Food - Condiments,378,40,Greece,Health Care
9/18/2024,Kids Tablet,Electronics,2880,34,Indonesia,Consumer Services
10/3/2024,Sesame Seeds,Food - Baking,4803,30,China,Technology
4/2/2025,Digital Voice Recorder,Electronics,727,8,Russia,Technology
8/2/2024,Portable Massage Gun,Health,4339,46,France,n/a
6/26/2025,Faux Fur Throw Blanket,Home,1113,5,Indonesia,Finance
2/12/2025,Vintage Graphic Tee,Clothing - Tops,3293,50,Mexico,Technology
6/16/2025,Pepper Jack Cheese Slices,Food - Dairy,3482,16,Sri Lanka,n/a
7/26/2024,Spinach and Feta Wraps,Food - Prepared Foods,3561,46,China,Public Utilities
11/9/2024,Car Phone Mount,Automotive,83,8,China,Finance
7/16/2025,Insulated Coffee Mug,Kitchen,4964,26,Argentina,Energy
9/8/2024,Portable Air Compressor,Automotive,3100,30,Kuwait,Health Care
10/23/2024,Artisan Bread Loaf,Food - Bakery,1866,30,Mexico,Miscellaneous
9/5/2024,Self-Stirring Mug,Kitchen,4003,32,Philippines,n/a
6/12/2025,Kale & Quinoa Salad Mix,Food - Salads,836,35,Indonesia,Finance
6/29/2025,Board Game Storage,Toys,2489,31,Argentina,Consumer Non-Durables
9/27/2024,Roasted Garlic,Food - Condiments,381,20,Indonesia,Technology
10/11/2024,Pumpkin Spice Granola,Food - Breakfast,3902,20,France,Consumer Services
1/12/2025,Gluten-Free Bread,Food - Bakery,4737,31,China,Public Utilities
7/13/2025,Spicy Italian Sausage,Food - Meat & Seafood,2538,37,Greece,Energy
6/13/2025,Ripped Boyfriend Jeans,Clothing - Bottoms,75,37,Indonesia,n/a
2/2/2025,Cinnamon Roll Dough,Food - Bakery,2515,26,United States,Finance
4/5/2025,Infrared Thermometer,Health,1962,49,Peru,Public Utilities
3/29/2025,Leather Notebook Cover,Office,4957,44,France,Public Utilities
8/16/2024,Almond Joy Munch Bars,Food - Snacks,787,42,Chile,Health Care
3/10/2025,Party Mini Dress,Clothing - Dresses,879,40,China,Health Care
2/14/2025,Pet Training Clicker,Pets,78,44,Croatia,n/a
10/24/2024,Customizable Name Puzzle,Toys,4945,21,Portugal,Capital Goods
1/31/2025,Coconut Yogurt,Food - Dairy Alternatives,313,13,Burkina Faso,Basic Industries
4/25/2025,Almond Milk,Food - Dairy,4067,39,Indonesia,Consumer Services
4/1/2025,Chickpea Salad,Food - Prepared Foods,2405,36,Indonesia,Health Care
3/24/2025,Ranch Dressing,Food - Condiments,507,50,China,Finance
12/20/2024,Pineapple Coconut Yogurt,Food - Dairy,4749,2,China,n/a
1/8/2025,Electric Kettle with Temperature Control,Kitchen,146,22,China,n/a
5/18/2025,Organic Chia Seeds,Food - Health Foods,363,13,Mexico,Consumer Non-Durables
10/31/2024,Balsamic Fig Dressing,Food - Condiments,1011,11,Indonesia,Health Care
2/4/2025,Recipe Book Stand,Kitchen,3935,10,Indonesia,Finance
12/26/2024,Mini Pretzels,Food - Snacks,3831,46,China,Public Utilities
4/4/2025,Bock Beer Mustard,Food - Condiments,1775,10,Indonesia,Health Care
5/7/2025,Sturdy Bookends,Office,254,30,Palestinian Territory,Energy
3/22/2025,Garlic Parmesan Roasted Potatoes,Food - Sides,386,37,Indonesia,Consumer Services
2/22/2025,Raspberry Tart,Food - Baked Goods,3174,10,United States,Health Care
5/6/2025,Trail Mix (Deluxe),Food - Snacks,3605,31,Brazil,n/a
2/11/2025,Lemon Pepper Seasoning,Food - Seasonings,3230,27,Nigeria,n/a
10/31/2024,Vegetable Potstickers,Food - Frozen Food,203,14,Poland,Consumer Services
5/10/2025,Ice Cube Tray with Lid,Kitchen,3441,28,China,n/a
3/30/2025,Pasta (Fusilli),Food - Pasta,4329,21,China,n/a
7/4/2025,Multi-Purpose Scissors,Office,1794,14,China,Health Care
9/30/2024,Spicy Hummus,Food - Deli,1243,41,Ecuador,Consumer Services
1/30/2025,Organic Apples,Food - Produce,4865,10,Indonesia,Consumer Services
2/10/2025,Mediterranean Chickpea Salad,Food - Salads,2342,42,Tunisia,n/a
12/23/2024,Almond Coconut Granola,Food - Breakfast Foods,2280,2,China,n/a
3/18/2025,Outdoor Inflatable Pool,Outdoor,4590,19,Russia,Consumer Non-Durables
9/8/2024,Puff Pastry,Food - Bakery,2129,30,China,Finance
2/7/2025,Peanut Butter Protein Balls,Food - Snacks,1428,14,Japan,Consumer Services
1/23/2025,Mini Indoor Hydroponic Garden,Garden,2879,36,Indonesia,Technology
8/4/2024,Sports Windbreaker,Clothing - Outerwear,2133,36,Colombia,n/a
7/18/2025,Tomato Basil Soup,Food - Canned Goods,2921,24,Cyprus,Capital Goods
8/9/2024,Grilled Veggie Burgers,Food - Meat Alternatives,1770,49,Brazil,n/a
9/12/2024,Basic V-Neck T-Shirt,Clothing - Tops,245,30,China,Finance
9/3/2024,Sturdy Bookends,Office,3488,34,Indonesia,Consumer Services
7/5/2025,Ground Cinnamon,Food - Spices,2679,31,Peru,Finance
7/12/2025,Cheesy Broccoli Soup Mix,Food - Soups,899,1,Cuba,Energy
4/14/2025,Maple Pecan Oatmeal Cookies,Food - Bakery,1345,36,China,Public Utilities
8/16/2024,Graphic Print Leggings,Clothing - Activewear,2599,3,Philippines,Technology
3/18/2025,Over-the-Door Shoe Organizer,Home,4459,31,Jamaica,Technology
